# intervals of consistent gain/loss CSV (cnvIntervals)
# ---
# algorithmVersion: 2.0
# limInp: 4
# inpVal: 0.1636935
# normalPostProcessingDir: /data5/experpath/vasm/vasm/NextGen/Projects/Tcell/TC30019/GRCh38/svar-1
# normalSampleName: normalPN2
# normalYPostProcessingDir: /data5/experpath/vasm/vasm/NextGen/Projects/Tcell/TC30108/GRCh38/svar-1
# normalYSampleName: TCL028_PB
# qualityPreNorm: 2.8868347
# qualityPostNorm: 1.3455543
# bmdSvPipelineVer: 0.31.3
# ...
"chr","start","end","actualCount","expectedCount","cnvState","nrd","quality"
2,38216000,41830000,38491,68033.1235081561,1,0.945264470776199,-3.54904700908107
2,41830000,47450000,65827,105986.656189642,1,1.12749518090907,-2.93586452035259
2,47450000,47756000,80,660.882409876621,1,0.0443290604477816,-6.58057674787195
2,47756000,74837000,296251,508199.690840554,1,0.976928967929722,-3.44250012049804
2,74837000,87965000,217510,244564.256363486,1,1.4619323194138,-1.81052732135892
2,87965000,91800000,35265,36216.3560612388,1,1.59148153516043,-1.37461116613776
2,91800000,9.6e+07,0,0,2,2,0
2,9.6e+07,97012000,19495,18580.236894817,2,1.91085093226287,-0.299974944854353
2,97012000,109931000,223563,238144.255810398,1,1.58581028193891,-1.3936941909586
2,109931000,201947000,1528455,1724619.85445946,1,1.49431962335046,-1.70154828255363
2,201947000,202439000,9664,9309.0008019764,2,1.79532694813515,-0.688698031339658
2,202439000,202689000,7212,4720.58864197586,3,2.50321889130349,1.69326570653029
2,202689000,242193000,701340,741566.710945272,1,1.57988882636937,-1.4136191139333
3,1,51762000,1167157,974895.966340855,2,2.00981986103068,0.0330425471171747
3,51762000,61170000,218685,177399.721165453,2,2.15545152770209,0.523074044783708
3,61170000,61470000,10086,5683.58872493894,3,3.03987512752088,3.49904370232197
3,61470000,75318000,310225,261010.787192129,2,2.03517369896221,0.118354893375051
3,75318000,87800000,243984,233423.667168422,2,1.74443857057631,-0.859930761410974
3,87800000,9.4e+07,39,18.8823545679035,2,2,0
3,9.4e+07,125751000,669881,597758.69855612,2,1.927725690623,-0.243193591588421
3,125751000,134570000,205806,165409.426014834,2,2.16477851523063,0.554458137074845
3,134570000,175387000,863456,767869.830858362,2,1.90437347147554,-0.32177075261541
3,175387000,175539000,4408,2870.11789432132,3,2.64161971011745,2.15896634755025
3,175539000,175578000,814,755.294182716138,2,1.75825530023856,-0.813439274470005
3,175578000,195698000,446496,377854.797258316,2,1.98568923457831,-0.0481538526107134
3,195698000,197298000,37231,28890.0024888923,2,2.25145972868514,0.846129075267886
3,197298000,198295559,21838,16012.2366735821,3,2.52103885853387,1.75322756393303
4,1,48200000,1043940,896269.841920105,2,1.94087521402389,-0.19894716639108
4,48200000,51800000,26,18.8823545679035,2,2,0
4,51800000,68667000,342440,314164.615300778,2,1.79873248009416,-0.677238862023223
4,68667000,91292000,474977,425759.330797087,2,1.88352327580816,-0.391928932103795
4,91292000,91367000,1297,1435.05894716066,2,1.70529580324342,-0.9916410503705
4,91367000,91505000,1344,2624.64728493858,1,0.878421523492677,-3.77396477809689
4,91505000,95391000,77685,73131.3592414901,2,1.82886796289874,-0.575836906602678
4,95391000,97078000,16425,31835.6498014852,1,0.8722331854186,-3.79478772576905
4,97078000,152496000,1076921,1043325.61929494,2,1.76531656650458,-0.789679037683272
4,152496000,190214555,741117,705841.296102799,2,1.75494706919267,-0.824571038948829
5,1,720000,18684,12764.4716879027,3,2.50364979534728,1.69471564223972
5,720000,34432000,725137,629726.52483958,2,1.98557803353475,-0.0485280295679847
5,34432000,46100000,251884,220054.960134347,2,1.97715455448513,-0.0768719340812925
5,46100000,51400000,19,18.8823545679035,2,2,0
5,51400000,55658000,88986,79929.0068859353,2,2.01293349025034,0.0435195019207749
5,55658000,55725000,1852,1284.00011061743,2,2.23489077319479,0.79037670863445
5,55725000,57852000,46727,40125.0034567948,2,2.00014537024102,0.000489151834565357
5,57852000,59056000,37006,22432.2372266693,3,2.92451794495851,3.11088188127258
5,59056000,69540000,227344,197698.252325949,2,2.0502414403645,0.169055871085322
5,69540000,69864000,7309,3304.4120493831,3,3.76247804207675,5.93050793349762
5,69864000,128960000,1206253,1090474.85865099,2,1.90301125869193,-0.326354420341986
5,128960000,129006000,1665,887.470664691462,3,2.69210776391948,2.32885204057539
5,129006000,150955000,501697,413032.62381832,2,2.09121902491612,0.306940079839825
5,150955000,181538000,695525,570492.578560067,2,2.07465006942578,0.25118771320639
6,1,42208000,897866,770777.713461819,2,2.05844251732701,0.196651421684086
6,42208000,44351000,48991,40351.5917116097,2,2.22916391945149,0.771106595334973
6,44351000,58500000,269402,265618.081706698,1,1.66882186095596,-1.11437109235551
6,58500000,62600000,0,0,2,2,0
6,62600000,75713000,237997,246471.374174844,1,1.6030464436906,-1.33569676258153
6,75713000,75937000,6622,4248.52977777828,3,2.57118357911392,1.92195798560259
6,75937000,86826000,202601,203174.135150641,2,1.71588770264245,-0.956000695190401
6,86826000,91172000,41401,81949.418824701,1,0.861891488367581,-3.82958618279528
6,91172000,157886000,1326387,1253127.46089891,2,1.76506636415657,-0.790520935837133
6,157886000,159342000,15355,27492.7082508674,1,0.919271226844202,-3.63651087284325
6,159342000,159423000,1845,1548.35307456808,2,1.93478695688902,-0.219433354801688
6,159423000,159692000,2888,5079.35337876603,1,1.03212175254968,-3.25678362403901
6,159692000,159732000,742,717.529473580331,2,1.72294896890847,-0.932240458403668
6,159732000,170805979,233673,202097.840940271,2,1.92764228984033,-0.243474224306375
7,1,7901000,195195,146961.365601993,2,2.27620196087709,0.929383448260767
7,7901000,14159000,125685,118014.716049397,2,1.7705847159432,-0.771952404332541
7,14159000,35977000,471305,411049.97658869,2,2.07409406420798,0.249316828420034
7,35977000,38259000,51564,43089.5331239557,2,1.97825266479027,-0.0731769366282373
7,38259000,57071000,423196,352986.736292387,2,2.05268786332281,0.177287764145293
7,57071000,58100000,19542,16786.4132108662,2,1.80165150748759,-0.667416716894849
7,58100000,62100000,0,0,2,2,0
7,62100000,70855000,194494,155382.895739278,2,2.17773343680529,0.59804975259696
7,70855000,70900000,1699,868.588310123559,3,2.91453765129906,3.07729949935747
7,70900000,71708000,20845,15124.7660088907,3,2.34534120971011,1.16202797144425
7,71708000,143505000,1550088,1335057.99736905,2,1.87170816492998,-0.431685233813879
7,143505000,159345973,363574,289976.319099293,2,2.16127568235851,0.542671562920796
8,1,2411000,54069,38727.70921877,2,2.22532748344869,0.75819749030911
8,2411000,2512000,202,169.941191111131,2,2,0
8,2512000,7361000,103763,89011.4194330969,2,1.91328345509073,-0.291789823914042
8,7361000,8234000,11672,6495.52997135879,3,3.18121165388481,3.9746226150139
8,8234000,12033000,90055,71601.8885214899,2,2.15805085209529,0.531820431159927
8,12033000,12148000,2340,1340.64717432115,3,3.05223234348641,3.54062411669875
8,12148000,28488000,361974,300456.02588448,2,2.05032484114717,0.169336503803275
8,28488000,43200000,328927,273303.200015835,2,2.03816222700787,0.128410899101717
8,43200000,47200000,14,18.8823545679035,2,2,0
8,47200000,122413000,1588133,1412607.82757943,2,1.93478695688902,-0.219433354801688
8,122413000,145138000,538987,424003.271822272,2,2.14409512112859,0.484861223022369
9,1,39450000,840859,738337.828314161,2,1.87910303432667,-0.406802466155332
9,39450000,42105000,23394,25717.7669214845,2,1.69378649523503,-1.03036836544809
9,42105000,42200000,1851,1774.94132938292,2,1.84652112856379,-0.516436314635847
9,42200000,45500000,0,0,2,2,0
9,45500000,138143000,1643613,1355413.17559325,2,2.10425734727346,0.350812328079896
9,138143000,138394717,1875,1907.11781135825,2,1.77943909903661,-0.742158564109807
10,1,3.8e+07,853894,712714.473165516,2,2.05619069619493,0.189074338299342
10,3.8e+07,41600000,30,18.8823545679035,2,2,0
10,41600000,46997000,103988,88444.9487960598,2,2.17411940288961,0.585889001485639
10,46997000,84394000,817703,697797.413056872,2,1.98429922153381,-0.0528310645766061
10,84394000,84525000,2544,2492.47080296326,1,1.64968833139853,-1.17875291506602
10,84525000,89103000,51234,85990.2427022323,1,1.0650557949505,-3.14596488186047
10,89103000,89178000,1683,1435.05894716066,2,1.80591884753418,-0.653057676159559
10,89178000,89214000,417,698.647119012428,1,1.06978183930177,-3.13006236117644
10,89214000,89263000,850,944.117728395173,1,1.66645883878032,-1.12232235269753
10,89263000,93668000,98730,83082.3600987752,2,1.98082418892258,-0.0645240944913372
10,93668000,94436000,8695,14501.6483081499,1,1.01604393500172,-3.31088337577783
10,94436000,94699000,5436,4984.94160592651,2,1.86574346451017,-0.451755670049741
10,94699000,94822000,1521,2341.41196642003,1,1.11656272831414,-2.97265079246434
10,94822000,99494000,107109,87935.1252227264,2,2.13956367860355,0.469613512013558
10,99494000,101435000,24147,36631.7678617327,1,1.18531972355993,-2.74129250257148
10,101435000,110143000,196022,163955.484713106,2,2.02426209656295,0.0816387794427961
10,110143000,133797422,548276,440657.508551163,2,2.15427001661427,0.5190984146127
11,1,5.1e+07,1120111,950386.670111717,2,2.02116236747374,0.0712085967588562
11,5.1e+07,55800000,0,0,2,2,0
11,55800000,57171000,27483,25491.1786666697,2,1.91499317113545,-0.286036853195995
11,57171000,135086000,1762846,1459228.36100758,2,2.0209955659084,0.0706473313229488
12,1,1937000,42260,35291.1206874116,2,2.2367811909353,0.796737716908065
12,1937000,7846000,146592,111122.656632112,2,2.2201010344014,0.740611173317357
12,7846000,7968000,1576,2322.52961185212,1,1.18805804925758,-2.73207839499867
12,7968000,8250000,6249,5324.82398814877,2,2.28490344253561,0.958662795167253
12,8250000,16140000,167823,143468.13000693,2,2.06714399898552,0.225930768590572
12,16140000,16187000,897,906.353019259366,2,1.80944948066719,-0.641177557766193
12,16187000,16240000,549,1019.64714666679,1,1.13862918539545,-2.8984000525058
12,16240000,33200000,356240,319621.615770902,2,1.86503610231642,-0.454135851250161
12,33200000,37800000,14,18.8823545679035,2,2,0
12,37800000,55688000,397002,336219.205436089,2,2.06030513480662,0.202918885718382
12,55688000,92748000,773986,697533.060092921,2,1.83918185968887,-0.541131993815759
12,92748000,133275000,953743,760940.006731941,2,2.19252317559868,0.647815287914054
13,1,16500000,1884,1397.29423802486,3,2.47144319310641,1.58634464098999
13,16500000,18900000,0,0,2,2,0
13,18900000,51345000,545906,609900.052543282,1,1.53777143112127,-1.55533863649983
13,51345000,67565000,247322,303911.496770406,1,1.33588593653928,-2.23465690242603
13,67565000,75410000,48056,145620.718427671,1,0.528288357689551,-4.95211705460943
13,75410000,114364328,612021,725441.180144283,1,1.35915475490407,-2.15636037411699
14,1,16100000,312,321.000027654359,1,1.66998947191333,-1.11044223430416
14,16100000,18200000,0,0,2,2,0
14,18200000,18417000,1547,1718.29426567921,2,1.73118711288549,-0.904520182152481
14,18417000,20366000,21878,18825.7075041997,2,1.94259883019906,-0.193147423553373
14,20366000,29828000,213088,178324.95653928,2,1.96050219821211,-0.132904933432682
14,29828000,30036000,6673,3946.41210469182,3,2.89057978361078,2.99668441025962
14,30036000,30130000,2189,1793.82368395083,2,2.12544114607151,0.422093038440093
14,30130000,37524000,161990,139295.129647424,2,1.95649896064398,-0.146375303894452
14,37524000,37565000,837,793.058891851945,2,1.72294896890847,-0.932240458403668
14,37565000,44450000,138699,129702.893526929,2,1.75127743475521,-0.836918878538784
14,44450000,45065000,19551,11574.8833501248,3,2.72448116772569,2.43778430726102
14,45065000,45099000,946,660.882409876621,3,2.53146395636756,1.78830665367722
14,45099000,107043718,1406806,1159433.21753298,2,2.08421335917188,0.283366931531729
15,1,17500000,2069,1189.58833777792,3,2.97808904769322,3.29114163043806
15,17500000,20500000,0,0,2,2,0
15,20500000,22379000,5960,6722.11822617363,1,1.27200093701444,-2.44962156437843
15,22379000,33869000,252520,201040.429084468,2,2.24200763998259,0.814324033899818
15,33869000,57230000,511112,435785.861072644,2,1.99489112093284,-0.017190709396507
15,57230000,77039000,459336,370698.384877081,2,2.22616149127539,0.761003817488647
15,77039000,101991000,577694,462749.86339561,2,2.14726435087003,0.495525266304603
16,1,31751000,738641,567679.10772945,2,2.26666647139188,0.897297774174746
16,31751000,31927000,3828,3342.17675851891,2,1.99421928129467,-0.0194513618466884
16,31927000,32040000,1948,1793.82368395083,2,1.95067480598756,-0.16597282203154
16,32040000,32317000,1771,1756.05897481502,2,1.73236399059649,-0.900560142688024
16,32317000,32594000,3572,4852.76512395119,1,1.35179116080088,-2.1811379045063
16,32594000,32855000,4221,4475.11803259312,2,1.72961794260415,-0.909800234771754
16,32855000,35300000,24220,20109.7076148172,2,2.0373977198334,0.125838432520478
16,35300000,38400000,15,18.8823545679035,2,2,0
16,38400000,53457000,160803,132082.070202485,2,2.0551898868029,0.185706745683899
16,53457000,53589000,3601,2511.35315753116,3,2.40930404996545,1.37725455726675
16,53589000,55504000,43309,36065.2972246956,2,2.09028771617631,0.303806347822678
16,55504000,55727000,4429,4229.64742321037,2,1.88334058837945,-0.39254365139074
16,55727000,72076000,368504,306309.55580053,2,1.96632635286853,-0.113307415295593
16,72076000,90338000,408398,338485.087984237,2,2.07370486055553,0.248007209069583
17,1,7253000,179247,131251.246601497,2,2.22199145214191,0.746972181590969
17,7253000,7343000,2148,1718.29426567921,2,2.0842504261864,0.283491657184153
17,7343000,7554000,2810,3984.17681382763,1,1.23471284422949,-2.57509111622918
17,7554000,16874000,217829,174888.368007922,2,2.14726435087003,0.495525266304603
17,16874000,18577000,45193,31476.8850646951,3,2.36977763903228,1.24425335780464
17,18577000,22700000,82269,64747.5938133409,2,2.20841102469723,0.701275820684202
17,22700000,27400000,12,18.8823545679035,2,2,0
17,27400000,43724000,383766,295282.260732874,2,2.24359225485331,0.819656055540936
17,43724000,43900000,4200,3342.17675851891,2,2.17957752077765,0.604254853805044
17,43900000,44682000,10409,14709.3542083968,1,1.17041878372298,-2.79143221484584
17,44682000,44757000,1779,1416.17659259276,2,2.10778798040646,0.362692446473262
17,44757000,51416000,157282,121111.422198533,3,2.35209667310634,1.18475922159848
17,51416000,51487000,2539,1359.52952888905,3,2.87040473713644,2.92879801944039
17,51487000,83257441,745316,593302.462878094,2,2.1287493771174,0.433224802918918
18,1,15400000,338142,288050.318933367,2,1.9947243193675,-0.0177519748324143
18,15400000,21500000,29,18.8823545679035,2,2,0
18,21500000,37977000,359299,309802.791395592,2,1.90454027304087,-0.321209487179504
18,37977000,49121000,238016,207951.370856321,2,1.86503610231642,-0.454135851250161
18,49121000,80373000,675723,584333.34445834,2,1.91499317113545,-0.286036853195994
19,1,20411000,529127,376438.620665723,3,2.34764863136397,1.16979214330763
19,20411000,20707000,4811,5589.17695209942,2,1.85409669965627,-0.490945509421734
19,20707000,24200000,80084,64842.0055861805,2,1.96800826865237,-0.107647988816863
19,24200000,28100000,56,18.8823545679035,2,2,0
19,28100000,40718000,312101,234103.431932867,2,2.30903406898799,1.03985919489514
19,40718000,41837000,13778,20997.1782795086,1,1.0806517413097,-3.09348656360316
19,41837000,49134000,92397,135669.717570386,1,1.16592904158927,-2.80653960949567
19,49134000,58617000,235270,174378.544434588,2,2.28662705871078,0.964462538004959
20,1,14906000,329748,277457.318020773,2,2.00292539633,0.00984357576634932
20,14906000,14957000,616,963.000082963076,1,1.26396666161728,-2.47665584954129
20,14957000,15505000,11548,10366.412657779,2,1.89948062555892,-0.338234538735352
20,15505000,15545000,1455,774.176537284042,3,2.90041511876702,3.029779025784
20,15545000,25700000,236468,190938.36939064,2,2.14241320534475,0.479201796543638
20,25700000,30400000,15,18.8823545679035,2,2,0
20,30400000,45762000,361230,278420.318103736,2,2.29872017219786,1.00515428210822
20,45762000,59833000,336714,264183.022759537,2,2.18237608037389,0.61367164056304
20,59833000,64444167,111582,83705.477799516,3,2.37166805677279,1.25061436607825
21,1,7251000,15104,12216.8834054335,2,1.91132353669799,-0.298384692785949
21,7251000,7827000,3326,3379.94146765472,1,1.66410508335831,-1.13024243162644
21,7827000,8027000,761,774.176537284042,2,1.92066442435698,-0.266953828375154
21,8027000,8701000,1235,2586.88257580277,1,0.916199298015875,-3.64684751128787
21,8701000,10900000,1438,1926.00016592615,1,1.32398742487843,-2.27469383685406
21,10900000,1.3e+07,0,0,2,2,0
21,1.3e+07,13414000,6483,6816.52999901315,2,1.72294896890847,-0.932240458403668
21,13414000,43793000,593178,556859.518562041,2,1.78574975825861,-0.720924021784656
21,43793000,43828000,1073,660.882409876621,3,2.93395613353061,3.14264015052098
21,43828000,46709983,62112,49962.7101866725,2,2.15952426592245,0.536778275843773
22,1,11974000,2539,3417.70617679053,1,1.27657606566374,-2.43422685527927
22,11974000,13700000,3163,2700.17670321019,2,2.09295932124783,0.312795949221122
22,13700000,17400000,0,0,2,2,0
22,17400000,18396000,16478,14029.5894439523,2,2.05835911654434,0.196370788966133
22,18396000,50818000,679144,595700.521908218,2,2.05449488028065,0.183368139700954
23,1,911000,20715,8818.05958321091,3,3.70096533148118,5.72352571330033
23,911000,1305000,15298,4267.41213234618,3,5.8632047562172,12.9991783775506
23,1305000,1427000,3504,1453.94130172857,3,4.04610557042849,6.88487744443138
23,1427000,1604000,4048,1850.47074765454,3,3.75518140026853,5.90595568881799
23,1604000,2779000,26337,12046.9422143224,3,3.87332694899816,6.30349999707097
23,2779000,36701000,711573,634503.76054526,2,1.81753935658613,-0.613956184124701
23,36701000,58100000,464290,389108.680580786,2,1.9457680599405,-0.18248338027114
23,58100000,63800000,13,18.8823545679035,2,2,0
23,63800000,107781000,940566,823799.365088492,2,1.83292680098866,-0.562179447662273
23,107781000,147661000,824760,736015.298702309,2,1.80448713409836,-0.657875204484428
23,147661000,148283000,15879,11763.7068958039,3,2.50986315365616,1.71562277972726
23,148283000,155720000,169493,135141.011642485,2,2.06422497159209,0.216108623462198
23,155720000,156040895,9206,4720.58864197586,3,3.2411212161024,4.17621045074385
24,1,8766000,105244,105231.362006926,2,1.73231765682834,-0.900716049753555
24,8766000,10300000,22010,19996.4134874098,2,1.98568923457831,-0.0481538526107134
24,10300000,10600000,0,0,2,2,0
24,10600000,57227000,224141,212502.018307185,2,1.99480772015017,-0.0174713421144607
